directorio,localidad,estrato,sector,seccion,manzana
198007,12,3,7307,2,7
198017,16,3,4304,7,14
198018,16,3,4309,2,7
198085,15,3,2102,1,7
198154,14,3,4111,3,4
198156,13,4,7202,2,4
198157,13,4,7202,1,1
198158,13,4,7201,1,2
198159,13,4,7202,1,1
198160,13,4,7202,2,4
198161,13,4,7202,2,4
198162,13,4,7202,4,11
198164,13,4,7202,4,11
198165,13,4,7202,4,11
198166,13,4,7202,4,11
198167,13,4,7202,2,11
198168,13,4,7202,2,11
198169,13,3,7209,1,4
198170,13,3,7209,1,4
198171,13,3,7209,1,4
198172,13,3,7209,2,1
198173,13,3,7209,2,1
198174,13,4,7205,4,6
198175,13,3,7209,3,11
198176,13,4,7206,1,14
198177,13,4,7206,1,14
198187,7,2,4521,8,24
198188,7,2,4521,7,2
198189,7,2,4522,4,12
198191,7,2,4521,9,45
198214,13,4,7202,2,4
198215,13,4,7202,1,1
198216,13,4,7202,2,4
198217,13,4,7202,3,6
198220,2,4,8212,3,6
198263,7,2,4527,11,15
198264,7,2,4527,11,15
198265,7,2,4527,11,15
198266,7,2,4527,9,8
198267,7,2,4527,9,8
198268,7,2,4527,4,6
198269,7,2,4527,4,6
198270,7,2,4527,4,6
198271,7,2,4527,4,6
198272,7,2,4527,4,6
198273,7,2,4527,13,4
198274,7,2,4527,13,4
198275,7,2,4527,2,1
198276,7,2,4521,2,10
198277,7,2,4521,2,10
198278,7,2,4521,2,10
198279,7,2,4521,7,2
198280,13,3,7204,1,10
198281,13,3,7204,2,7
198282,13,3,7204,2,7
198283,13,3,7204,1,10
198300,4,2,1321,2,16
198316,11,2,9207,3,24
198317,11,2,9216,6,8
198318,11,2,9215,18,14
198319,11,2,9215,2,1
198320,11,2,9215,2,1
198321,11,3,9208,5,8
198322,13,3,7207,2,10
198323,13,4,7207,2,2
198324,13,4,7207,2,2
198325,13,3,7204,1,10
198326,16,3,4303,2,4
198327,16,3,4305,2,10
198328,16,3,4305,2,10
198329,16,3,4303,2,4
198330,16,3,6503,2,5
198335,16,3,6211,1,3
198341,12,3,7302,2,10
198342,12,3,7302,2,10
198343,12,3,7302,2,10
198344,12,3,7302,2,10
198345,12,4,5101,2,6
198353,16,3,4407,1,5
198354,16,3,4408,3,10
198355,16,3,4212,2,21
198356,16,3,4212,2,21
198357,16,3,4304,1,11
198358,16,3,4304,1,11
198359,16,3,4304,1,11
