directorio_hog,ingreso,gasto
19800701,4483333.33333333,4831841.11111111
19801701,NA,3027829.33333333
19801801,3030000,2435573
19808501,954166.666666667,887512.666666667
19815401,6875000,3439126.44444444
19815601,3787766.66666667,3334223
19815701,7945000,3774930.41666667
19815801,5340000,4677110.41666667
19815901,3100000,2535634.75
19816001,6266666.66666667,4984330
19816101,6075000,4085619.16666667
19816201,4400000,5153362
19816401,1500000,1839166.66666667
19816501,5358333.33333333,5119900
19816601,5925000,4793545.33333333
19816701,3600000,5032369
19816801,2473000,3346413.66666667
19816901,2150000,2664166.66666667
19817001,1150249.91666667,1532340.66666667
19817101,2615000,3008186.5
19817201,3219166.66666667,3453812.77777778
19817301,2332833.33333333,2621258.66666667
19817401,NA,1094060.16666667
19817501,8126666.66666667,6674535.77777778
19817601,2579583.33333333,1963000
19817701,4316666.66666667,3702941
19818701,648000,952470.833333333
19818801,1960000,4422833.33333333
19818901,2107333.33333333,1823784.5
19819101,2930666.66666667,1819727.33333333
19821401,50000000,3946369.5
19821501,9621833.33333333,8437067
19821601,2775000,4259791.5
19821701,6870000,4567343.83333333
19822001,1488166.66666667,1961296.5
19826301,2040000,1729500
19826401,768583.333333333,1241233.33333333
19826501,2935166.66666667,3961816.66666667
19826601,637000,505805.416666667
19826701,1244833.33333333,1775187.75
19826801,1889686.33333333,4141346.66555556
19826901,1880166.66666667,1684383.33333333
19827001,623333.333333333,1521500
19827101,494416.666666667,1068333.33333333
19827201,800000,1794063.75
19827301,205000,397808.083333333
19827401,1150000,2194681.75
19827501,9878750,8637479.58333333
19827601,1330666.66666667,1641666.66666667
19827701,375000,579500
19827801,1577166.66666667,2666766.66666667
19827901,2134000,1476833.33333333
19828001,5825000,3626776.61111111
19828101,1750000,4448120.75
19828201,4400000,4878172.66666667
19828301,2060000,2778574.5
19830001,83333.3333333333,952100
19831601,1375000,3808063.66666667
19831701,600000,1009800
19831801,2153166.66666667,2264189.66666667
19831901,200000,369392.333333333
19832001,4072166.66666667,1897583.33333333
19832101,4976666.66666667,5152844.83333333
19832201,2511499.5,928742.75
19832301,1685600,2285766.33333333
19832401,NA,1882485
19832501,900000,1552266.66666667
19832502,NA,633016.666666667
19832503,3706666.66666667,2293750
19832601,700000,1481633
19832701,3138333.33333333,2592772.19444444
19832801,2653333.33333333,3975276.75
19832901,3733333.33333333,2976317.33333333
19833001,2666666.66666667,5112666.66666667
19833002,2585000,2669810.20833333
19833501,2948166.66666667,2252690.5
19834101,3918333.33333333,3698821.66666667
19834201,6126666.66666667,5007951.58333333
19834301,4033333.33333333,2415325
19834401,3233333.33333333,2195311
19834501,2841666.66666667,3950629.66666667
19835301,700000,1361900
19835401,2520833.33333333,1926611.66666667
19835402,300000,1013945
19835501,1800000,1727349
19835601,722500,899076.444444444
19835701,4280000,2841900
19835801,2070416.66666667,2769778.79166667
19835802,1475000,2407901.79166667
19835901,1395833.33333333,2080066.66666667
19836001,8929166.66666667,4606656.66666667
